country,description,variety
Argentina,"Concentrated, ripe blackberry and cassis aromas come with peppery spice and cedary oak notes. This is big and generous on the palate, with roasted, well-oaked blackberry flavors. A touch of heat lends sizzle to the finish. Drink through 2020.",Malbec
Argentina,"Smoky aromas of fresh-cut wood blend with berry and cassis form a welcoming, generous bouquet. This feels lively on the palate, albeit tartaric. Oaky plum, cassis and vanilla flavors finish full and agreeable. Drink through 2019.",Malbec
Argentina,"This copper-tinted rosé of Pinot Noir smells like a rubber gym ball and citrus fruits. A full round bouncy palate brings it around, while dry citrus and stone-fruit flavors show a skins-like quality on a steady finish.",Rosé
Argentina,"Aromas of prune, raisin and black plum are full and gritty. A chunky full-bodied palate feels grabby, while this tastes of generic blackberry, burnt coffee and dark chocolate. A steady plump, rubbery finish closes the show.",Malbec
Argentina,"Dark, minty, inky aromas of blackberry are rugged. Same for the palate, which is pinched and rubbery, with grabby tannins. Flavors of toasted, blackened berry fruits are chocolaty and well oaked. Raw heat and minty, coffee flavors rev up the finish on this Malbec-led blend.",Bordeaux-style Red Blend
Argentina,"Dark-berry aromas are crisp and show a note of minerality as well as barrel char. This is firm, juicy and modest in structure, with flavors of blackberry and cassis touched up by some oak. A non-pushy finish with a hint of mocha is a good close.",Malbec
Argentina,"Immediately this smells raisiny, but with time secondary scents of cinnamon and Middle Eastern spices come into play. The body is soft and extracted, with modest acidity. Flavors of baked black fruits, fig paste, chocolate and herbs follow the nose, as does a chocolaty, rich  finish. Drink through 2016.",Cabernet Sauvignon
Argentina,"Open-grain oak aromas are out front, followed by sweeter scents of marzipan, prune and chocolate. A full, tannic palate is deep and dense, while toasty blackened flavors of cassis and blackberry finish with notes of mocha, chocolate and pepper. This is a bit rough and tannic, so cellaring will help it calm down. Drink through 2023.",Cabernet Sauvignon
Argentina,"Although this San Juan SB offers almost nothing on the nose, it's fresh and popping with acidity on the palate. Flavors of briny citrus are entirely familiar, while this finishes with cleansing crispness.",Sauvignon Blanc
Argentina,"This boxed Malbec is burgundy-colored and opens with spicy reedy aromas of dried herbs and red-berry fruits. On the palate, this is tight but shallow in the midtier. Flavors of baked plum and berry fruits come with a note of cocoa powder prior to a stable finish.",Malbec
Argentina,"Jammy blueberry aromas come with overt oakiness. This feels dense but on the flat side. Baked berry flavors and herbal plum notes sprinkle in a mild sweet and green accent, while this feels full and a bit syrupy on the finish.",Malbec
Argentina,"A mild nose with little extravagance offers modest lemon aromas. The palate on this light-bodied white holds onto that lemony character via pithy, somewhat yeasty citrus flavors. The short non-effusive finish is tangy.",Torrontés
Argentina,"Cherry and plum aromas are earthy, gritty and not overly potent. The palate is saturated, with the right amount of body weight and volume. There's a blitz of berry and black cherry flavors, backed by a finish that's black in nature and shows mild bitter notes of chocolate and coffee.",Malbec
Argentina,"This uniquely tan-colored Torrontés is “orange” in style. Aromas of orange peel, peach, apricot and floor polish are challenging but complex. This immediately turns grabby and astringent on the palate, while stone-fruit and pithy flavors are short, quick and dry.",Torrontés
Argentina,"Gritty aromas of herbal berry fruits and coffee grounds lead to a hard tannic, compact palate with loud acidity. Disparate flavors of burnt coffee, tomato and stewed plum finish with scraping tannins and herbal notes that reflect the nose and palate.",Malbec-Cabernet Sauvignon
Argentina,"Raspy berry and plum aromas lead to a palate dominated by tartaric acid. That, in turn, leads to sharp berry and plum flavors backed by a bracing finish.",Malbec
Argentina,"Basic white-fruit aromas are a bit dusty and yeasty. This feels plump, soft and creamy, with bitter-leaning green melon and papaya flavors. Notes of onion and grape skins rise up on the finish. This is a mix of Sauvignon Blanc, Chardonnay and Viognier.",White Blend
Argentina,"Narrow berry aromas are angular and punchy. This feels high in acidity, with hard tannins. That sharp acidity makes for tart unyielding black plum flavors.",Bordeaux-style Red Blend
Argentina,"This Pinot Noir-heavy sparkler opens with aromas of briny citrus and bready yeast. The palate is fresh and low on weight, with a dominating flavor of pink grapefruit. Overall, this is basic but easy to drink.",Sparkling Blend
