country,description,variety
Germany,"Juicy, sun-kissed grapefruits and apple blossoms explode from this buoyantly fresh, off-dry Kabinett. Invigorating acidity lends backbone and a steely focus that resonates long on the finish. It's beautiful now, but should hold nicely, and perhaps improve, through 2020.",Riesling
Germany,"Often herbal and a bit green in nature, Silvaner is a much maligned grape. Yet at Thörle, it seems to blossom into something perfumed and quite fruity, redolent of peaches and fresh pears. Characteristic herb notes are fresh and nuanced, highlighted against brisk citrus and apple flavors and a silken supple mouthfeel.",Silvaner
Germany,"Ruddy black plums and blackberries scent this lusciously ripe, rich Lemberger. It's irresistibly fruity, yet anchored by a savory edge of bramble and dried herb along with crisp cranberry acidity freshening the finish. Drink now through 2021.",Lemberger
Germany,"Apple, pear and stone-fruit flavors are vibrant and fresh from nose to finish of this delicately sweet Kabinett. It offers uncomplicated refreshment, but is anchored with taut acidity and honed, steely minerality. The finish is long and persistent.",Riesling
Germany,"Quite rare in the U.S. market, this ripe richly berried wine is an excellent example of Frühburgunder, an early ripening mutation of Pinot Noir. Blackberry and plum flavors are fleshy and rich, offset by soft, sunny acidity and a supple silken mouthfeel. It's just faintly tannic and approachable now.",Früburgunder
Germany,"Pressed apple and pears seem to be dusted in pollen and saffron on the nose of this savory, spicy Riesling. It's off dry and delicate in style, but concentrated in lip smacking tangerine and lime flavors. Dusty, earthy tones persist through the moderately long finish.",Riesling
Germany,"Kirsten's Feinherb, or gently sweet bottling, maintains a firm foundation of stoniness, but also embraces softer, less angular dimensions of spring blossom and peach. High-toned acidity brighten and lifts the palate through a long finish. Drink now through 2021.",Riesling
Germany,"Luscious white peach and apricot flavors are anchored by a steely core of mineral in this easy-drinking but elegant wine. Light bodied but persistent, it's a lip-smacking, sweet wine that finishes with a touch of brambly herbaceousness. Drink now through 2020.",Riesling
Germany,"Apple, pear and stone-fruit flavors are vibrant and fresh from nose to finish of this delicately sweet Kabinett. It offers uncomplicated refreshment, but is anchored with taut acidity and honed, steely minerality. The finish is long and persistent.",Riesling
Germany,"Whiffs of spice, honeycomb and lanolin meld curiously on the nose of this intensely mineral Riesling. Dry in style, with pretty yellow-cherry flavor, it builds in concentration and complexity as shades of spice, rock and fruit amass against a backdrop of sunny tangerine acidity. Drink now.",Riesling
Germany,"This dainty off-dry Riesling is marked by aromas—ripe stone fruit and florals against a backdrop of tea leaves and crushed minerals. On the palate, it's intensely juicy, with flavors of orange, mango and peach, but with a streak of acidity that ripples the tongue.",Riesling
Germany,"Lavish aromas of ripe peach, canteloupe and honeysuckle extend onto the palate of this juicy, fruit-forward Riesling. Semi-sweet in style, it's one lipsmacking nectar, with bracing lime acidity on the finish.",Riesling
Germany,"Zesty lime and evergreen notes mingle with luscious peach, plum and cherry aromas on this semisweet Scheurebe. The palate is juicy in stone fruit flavor, but refreshing and cool, with a bracing hit of acidity that lingers on the finish.",Scheurebe
Germany,"Smoke and jasmine-tea notes mingle seductively on this brisk, gorgeously floral off-dry Riesling. The palate is lush, with ripe peach and nectarine flavors that fill the mouth, finishing long.",Riesling
Germany,"Ripe, juicy peaches and nectarines burst from the nose and palate of this semisweet Riesling. Sunny and pristine, with a soft, lacy sweetness, it's balanced by bristling acidity and a delicate minerality on the finish.",Riesling
Germany,"Fresh, herbaceous notes on the nose and palate lend elegance to this rich, round Riesling, full of sweet canteloupe and peach flavors. It's delicately structured, with a zingy strike of citrus acidity and hints of spice that carry long on the finish.",Riesling
Germany,"This semisweet Riesling balances an intensely fruit-forward profile of ripe yellow cherry and quince flavors against a backdrop of crisp, tart tangerine acidity. It's sunny and bright, yet elegantly composed, with a bristle of fresh herb notes that linger on the finish.",Riesling
Germany,"Opening with aromatic notes of smoke against a backdrop of stone fruit and apple blossoms, this is a racy little Riesling that packs a powerful punch of flavor. Delicately sweet, with a saturated palate of yellow cherry and quince, it's smartly balanced by a sheen of minerals and brisk, bracing citrus acidity.",Riesling
Germany,"Wisps of smoke and candle wax seem savory in contrast to the ripe stone fruit and lemon aromas on this concentrated Riesling. Ripe, juicy tangerine flavors lend sweetness to the palate, but are cut with a vein of lime acidity that reverberates from start to finish. It's delicately textured, yet chock full of vibe and zest.",Riesling
Germany,"While remarkably lithe and delicate in style, this complex auslese is lusciously concentrated, with ripe peach and nectarine flavors balanced by hints of smoke, spice and musk. It's zippy and bright, with tart tangerine acidity and a wave of minerality on the finish.",Riesling
Germany,"Delicate whiffs of tangerine and lime intensify on the palate of this Spätlese Riesling, complemented by swathes of green herb and pine frond. It's superlight in texture, yet penetrating, showering the palate in sweet-tart grapefruit and Meyer lemon flavors. The finish is crisp and clean.",Riesling
